repo,status
KDE/snorenotify,Pass
KDE/snoretoast,Pass
KDE/kdelibs,Error
KDE/kdepimlibs,Error
KDE/akonadi,Error
KDE/kde-runtime,Pass
KDE/kcoreaddons,Error
KDE/repo-management,Error
KDE/modemmanager-qt,Error
KDE/kblackbox,Pass
KDE/knemo,Pass
KDE/kdepim,Error
KDE/kmouth,Pass
KDE/libkoralle,Pass
KDE/kpmcore,Pass
KDE/nepomuk-core,Pass
KDE/kjs,Pass
KDE/partitionmanager,Pass
KDE/kdesu,Error
KDE/abakus,Pass
KDE/kdegraphics-thumbnailers,Pass
KDE/koffice-googledocs,Pass
KDE/knotifications,Error
KDE/ksnakeduel,Pass
KDE/ginkgo,Error
KDE/poxml,Pass
KDE/mobster,Error
KDE/strigiclient,Error
KDE/kor,Pass
KDE/libechonest,Pass
KDE/polkit-kde-kcmodules-1,Pass
KDE/kjobwidgets,Error
KDE/kdelibs4support,Error
KDE/kanalytics,Pass
KDE/kteatime,Pass
KDE/kwebkitpart,Pass
KDE/kdev-perforce,Pass
KDE/kinit,Pass
KDE/kimono,Pass
KDE/gcompris,Error
KDE/conquirere,Pass
KDE/koffice-formulashape,Pass
KDE/kidletime,Error
KDE/ktp-contact-list,Pass
KDE/kbreakout,Pass
KDE/okteta,Error
KDE/kreport,Error
KDE/predicate,Error
KDE/kcmutils,Error
KDE/sweeper,Pass
KDE/kremotecontrol,Pass
KDE/phonon-directshow,Pass
KDE/koffice-musicshape,Pass
KDE/apper,Pass
KDE/kbruch,Pass
KDE/purpose,Error
KDE/libqzeitgeist,Pass
KDE/kruler,Pass
KDE/solid-power,Pass
KDE/kstars,Error
KDE/superbuild,Error
KDE/oxygen-transparent,Pass
KDE/kaffeine,Error
KDE/kapman,Pass
KDE/digikam,Error
KDE/libtmdbqt,Error
KDE/gpgmepp,Error
KDE/kalarmcal,Error
KDE/kdev-qmljs,Pass
KDE/polkit-qt-1,Pass
KDE/kblog,Error
KDE/kcalcore,Error
KDE/kubrick,Pass
KDE/kcalutils,Error
KDE/kcontacts,Error
KDE/kholidays,Error
KDE/plasma-maliit-plugins,Error
KDE/khotkeys,Pass
KDE/kidentitymanagement,Error
KDE/kimap,Pass
KDE/kinfocenter,Pass
KDE/about-distro,Error
KDE/kblocks,Error
KDE/phonon-xine,Pass
KDE/kwhiteboard,Pass
KDE/android-qt5-qtbase,Error
KDE/android-qt-creator,Error
KDE/kdebugsettings,Error
KDE/android-qt,Error
KDE/kitemviews,Error
KDE/android-qt-mobility,Error
KDE/android-qt-ndk,Error
KDE/kdocumentstore,Error
KDE/android-qtwebkit,Error
KDE/necessitas-installer-framework,Error
KDE/kguiaddons,Error
KDE/calligra,Error
KDE/ktouch,Pass
KDE/kdev-control-flow-graph,Pass
KDE/notably,Pass
KDE/qt,Error
KDE/kded,Pass
KDE/kpeoplevcard,Error
KDE/kwin,Error
KDE/kopete-thinklight,Pass
KDE/strigi-multimedia,Pass
KDE/nepomukextras,Pass
KDE/kfritz,Pass
KDE/muon,Pass
KDE/kdesignerplugin,Error
KDE/kpaste,Error
KDE/knavalbattle,Pass
KDE/calligra-history,Error
KDE/tikzkit,Pass
KDE/umbrello,Error
KDE/kipi-plugins,Error
KDE/kwayland,Error
KDE/kcoloredit,Pass
KDE/kfourinline,Pass
KDE/kwayland-integration,Pass
KDE/krita-deskew,Pass
KDE/akonadi-sugarcrm,Error
KDE/kmix,Pass
KDE/kipi-plugins-doc,Error
KDE/kmediaplayer,Pass
KDE/elf-dissector,Pass
KDE/kreenshot-editor,Pass
KDE/cantor,Error
KDE/cervisia,Pass
KDE/kate,Error
KDE/kmymoney,Error
KDE/labplot,Error
KDE/pykde4,Pass
KDE/kservice,Error
KDE/plasma-active-maliit,Error
KDE/baloo,Error
KDE/jsmoke,Pass
KDE/osx-patches,Error
KDE/bodega-webapp-client,Error
KDE/cxx11-cmake-modules,Pass
KDE/mtp-server,Pass
KDE/kdev-krazy2,Error
KDE/kdesudo,Pass
KDE/ktp-text-ui,Pass
KDE/ktextwidgets,Error
KDE/libkdeaccessibilityclient,Pass
KDE/akonadi-airsync,Pass
KDE/kmahjongg,Pass
KDE/sprinter-plugins,Pass
KDE/kdev-go,Error
KDE/kdev-executebrowser,Pass
KDE/kontaminuti,Pass
KDE/kdev-php-docs,Error
KDE/massif-visualizer,Error
KDE/kopete-protocol-telepathy,Pass
KDE/smokeqt,Error
KDE/kmplayer,Pass
KDE/kscreen,Pass
KDE/kdenetwork-strigi-analyzers,Pass
KDE/rekollect,Pass
KDE/telepathy-logger-qt,Pass
KDE/bluedevil,Error
KDE/libkvkontakte,Pass
KDE/plasma-phone-settings,Error
KDE/kig,Pass
KDE/kde-baseapps,Pass
KDE/kdev-sql,Pass
KDE/plasma-crystal,Pass
KDE/kjumpingcube,Pass
KDE/frameworkintegration,Pass
KDE/krdc,Pass
KDE/phonon-gstreamer,Pass
KDE/kcwsh,Pass
KDE/ktp-accounts-kcm,Pass
KDE/plasma-mobile,Error
KDE/ktnef,Error
KDE/ksquares,Pass
KDE/plasma-samegame,Pass
KDE/smokekde,Pass
KDE/kppp,Pass
KDE/kde-build-metadata,Error
KDE/ring-kde,Error
KDE/kde-workspace,Error
KDE/kconfig,Error
KDE/share-like-connect,Pass
KDE/konsole,Error
KDE/konversation,Pass
KDE/kst-plot,Error
KDE/kdev-www,Error
KDE/trojita,Pass
KDE/phonon-quicktime,Pass
KDE/ksudoku,Pass
KDE/libstreams,Error
KDE/bovo,Pass
KDE/libkipi,Pass
KDE/ksysguard,Error
KDE/nepomukannotation,Pass
KDE/cagibi,Pass
KDE/inqlude-client,Pass
KDE/libqapt,Pass
KDE/kdewebkit,Pass
KDE/koffice-plugins,Pass
KDE/kdev-cppcheck,Pass
KDE/kde-dev-scripts,Pass
KDE/khelpcenter,Pass
KDE/libkgeomap,Pass
KDE/kfilemetadata,Error
KDE/libstreamanalyzer,Error
KDE/wacomtablet,Pass
KDE/threadweaver,Error
KDE/juk,Error
KDE/krfb,Pass
KDE/assemblygen,Error
KDE/wiki-reader,Pass
KDE/kdiagram,Error
KDE/kolf,Pass
KDE/kdesdk-strigi-analyzers,Pass
KDE/oxygen-icons,Error
KDE/kolor-manager,Pass
KDE/twine2,Error
KDE/mangonel,Pass
KDE/knetwalk,Pass
KDE/kcachegrind,Pass
KDE/step,Pass
KDE/ksecrets,Error
KDE/kdev-php,Error
KDE/person-viewer,Pass
KDE/kte-collaborative,Pass
KDE/kreversi,Pass
KDE/libkdegames,Error
KDE/kdecoration,Pass
KDE/kdenlive,Error
KDE/kcharselect,Pass
KDE/ktexteditor,Error
KDE/nepomuk-web-extractor,Pass
KDE/automoc,Pass
KDE/analitza,Error
KDE/audiocd-kio,Pass
KDE/milou,Pass
KDE/libdebconf-kde,Pass
KDE/kaccounts-integration,Error
KDE/ksshaskpass,Pass
KDE/appmenu-runner,Pass
KDE/notificationsurvey,Pass
KDE/libkmahjongg,Pass
KDE/akonadi-vkontakte,Pass
KDE/libkgapi,Pass
KDE/nepomuk-tools,Pass
KDE/emerge-history,Error
KDE/plasma-pa,Pass
KDE/phoneblocker,Pass
KDE/libqgit2,Error
KDE/krita-linesampler,Pass
KDE/korundum,Pass
KDE/kdeadmin-strigi-analyzers,Pass
KDE/synchrotron-sources,Error
KDE/kdevelop,Error
KDE/blinken,Pass
KDE/libkexiv2,Pass
KDE/kigo,Pass
KDE/kile,Error
KDE/kdenetwork-filesharing,Pass
KDE/bodega-webapp-manager,Error
KDE/libkfbapi,Pass
KDE/kdev-xdebug,Error
KDE/tellico,Error
KDE/whoopsie-kcm,Pass
KDE/koffice-chartingshape,Pass
KDE/kdegraphics-mobipocket,Pass
KDE/ktp-common-internals,Error
KDE/kmenuedit,Pass
