command,freq
cmake_minimum_required,810
set,16990
project,1249
find_package,6032
set_package_properties,979
message,1031
function,73
string,211
endfunction,73
configure_file,1054
add_library,2425
target_link_libraries,7047
cmake_parse_arguments,13
_test_name,1
_test_type,1
file,650
install,10560
list,351
set_property,205
get_git_head_revision,2
ecm_create_qm_loader,63
QT5_ADD_RESOURCES,8
set_target_properties,1570
generate_export_header,414
target_include_directories,619
ecm_setup_version,342
configure_package_config_file,218
ecm_generate_pri_file,156
ecm_install_icons,337
qt5_wrap_ui,82
ecm_optional_add_subdirectory,85
add_feature_info,208
return,99
ecm_add_tests,100
ecm_install_po_files_as_qm,44
generate_snore_plugin_header,1
feature_summary,657
cmrc_add_resource_library,1
target_compile_definitions,220
create_icon_rc,1
add_executable,2238
macro_bool_to_01,84
macro_optional_find_package,209
macro_ensure_out_of_source_build,2
add_definitions,2801
remove_definitions,247
include_directories,2507
check_include_files,229
check_symbol_exists,66
check_function_exists,167
check_library_exists,30
check_struct_member,12
execute_process,59
check_cxx_symbol_exists,9
check_prototype_exists,21
check_cxx_source_compiles,75
qt4_add_dbus_interface,44
soprano_add_ontology,52
kde4_add_library,203
qt4_add_resources,22
kde4_add_executable,307
set_source_files_properties,184
kde4_add_ui_files,278
kde4_add_unit_test,315
add_custom_target,230
macro_push_required_vars,3
macro_pop_required_vars,3
check_type_size,24
macro_log_feature,173
find_library,70
qt4_add_dbus_adaptor,72
_set_fancy,14
LIST,29
MACRO,38
ENDMACRO,38
KDECORE_UNIT_TESTS,3
KDECORE_EXECUTABLE_TESTS,1
kde4_add_plugin,476
SONNET_UNIT_TESTS,1
add_custom_command,233
macro_add_file_dependencies,9
macro,415
qt4_generate_moc,15
endmacro,415
gen_kcfg_test_source,50
SET,537
automoc4_add_library,10
KDEUI_UNIT_TESTS,1
KDEUI_PROXYMODEL_TESTS,1
KDEUI_EXECUTABLE_TESTS,3
FIND_LIBRARY,6
qt4_add_dbus_interfaces,7
add_test,760
set_tests_properties,53
ADD_ECMATEST,4
kde4_no_enable_final,6
get_target_property,33
create_lut,52
KIO_UNIT_TESTS,1
KIO_EXECUTABLE_TESTS,2
find_path,25
check_include_file_cxx,5
kde4_add_kdeinit_executable,14
qt4_generate_dbus_interface,7
KDE3SUPPORT_UNIT_TESTS,1
KDE3SUPPORT_EXECUTABLE_TESTS,1
KFILE_EXECUTABLE_TESTS,1
KFILE_UNIT_TESTS,1
set_execution_level_as_invoker,1
get_filename_component,210
add_dependencies,159
FILE,127
install_customize_l_dir,22
KPARTS_UNIT_TESTS,1
update_xdg_mimetypes,38
check_variable_exists,3
macro_add_compile_flags,10
macro_add_link_flags,4
MESSAGE,176
KDE4_NO_ENABLE_FINAL,1
kde4_install_icons,104
create_js_binding,10
kde4_add_kcfg_files,95
PLASMA_UNIT_TESTS,3
KUNITCONVERSION_UNIT_TESTS,1
macro_display_feature_log,53
macro_optional_add_subdirectory,153
make_install_path_absolute,57
externalproject_add,5
sb_add_project,21
sb_end,2
enable_testing,61
kcfg_generate_dbus_interface,49
qt5_add_dbus_interface,273
ecm_qt_declare_logging_category,800
add_resource_iface,6
kconfig_add_kcfg_files,400
ecm_generate_headers,390
ecm_mark_as_test,654
add_akonadimime_test,2
find_program,101
add_akonadi_isolated_test,57
kde_enable_exceptions,119
add_akonadimime_demo,2
ecm_configure_package_config_file,27
ki18n_wrap_ui,575
add_akonadi_contact_demo,7
kde_target_enable_exceptions,16
ecm_setup_qtplugin_macro_names,10
set_default_db_backend,1
CHECK_CXX_COMPILER_FLAG,5
mark_as_advanced,10
qt5_add_dbus_adaptor,251
qt5_add_dbus_interfaces,77
ecm_mark_nongui_executable,120
update_include_directories,3
INSTALL,104
akonadi_run_xsltproc,4
akonadi_add_xmllint_test,2
qt5_generate_dbus_interface,40
KCONFIG_ADD_KCFG_FILES,2
ecm_qtdesignerplugin_widget,75
ecm_add_qtdesignerplugin,21
ecm_add_test,732
add_libakonadixml_test,2
kde_package_app_templates,8
_defineTest,3
add_akonadi_isolated_test_impl,2
add_unit_test,14
add_server_test,27
add_akonadi_test,17
add_akonadi_test_widgets,2
add_akonadi_isolated_widget_test,4
add_akonadi_demo,7
ecm_qt_install_logging_categories,188
kde_configure_git_pre_commit_hook,73
kde4_add_app_icon,28
find_file,17
macro_ensure_version,5
ADD_DEFINITIONS,69
INCLUDE_DIRECTORIES,150
KDE4_ADD_PLUGIN,2
TARGET_LINK_LIBRARIES,90
CHECK_FUNCTION_EXISTS,31
alsa_configure_file,1
alsa_version_string,1
qt4_automoc,47
kde4_install_auth_helper_files,7
kde4_install_auth_actions,7
ecm_qt_export_logging_category,31
ecm_generate_export_header,58
ecm_generate_python_binding,14
ecm_add_qch,73
build_plugin,6
ecm_install_qch_export,73
serialize_test,10
pkg_check_modules,87
kdoctools_create_handbook,214
qt5_add_resources,229
ecm_add_app_icon,136
ki18n_install,133
kdoctools_install,80
cmake_policy,133
add_akonadi_isolated_test_advanced,52
folderarchive_kmail,3
add_sendlater_agent_test,7
archivemail_agent,8
add_mailfilter_agent_test,2
followupreminder_agent,7
add_sieveserver_unittest,2
add_storageservice_unittest,4
kcoreaddons_desktop_to_json,378
add_noteshared_unittest,8
test_big_endian,5
kauth_install_helper_files,23
kauth_install_actions,24
kdoctools_create_manpage,72
SET_TARGET_PROPERTIES,13
add_nepomuk_test,6
macro_write_basic_cmake_version_file,5
check_struct_has_member,12
check_math_expr,13
check_cxx_compiler_flag,16
cmake_push_check_state,6
cmake_pop_check_state,6
GET_FILENAME_COMPONENT,15
BISON_FILE,1
FLEX_FILE,1
kde4_create_handbook,29
cmake_dependent_option,13
gradle_add_aar,2
gradle_install_aar,2
knotifications_executable_tests,2
find_optional_dep,5
link_directories,50
qt4_wrap_cpp,23
find_package_handle_standard_args,3
qt5_wrap_cpp,37
CONFIGURE_FILE,22
ADD_CUSTOM_TARGET,23
QT_WRAP_CPP,1
qt5_use_modules,36
add_echonest_test,6
pkg_search_module,4
dbus_add_activation_system_service,2
kjobwidgets_executable_tests,1
cmake_find_frameworks,4
write_basic_package_version_file,27
check_include_file,46
check_cxx_source_runs,1
kf5designerplugin_add_plugin,3
kdelibs4support_encode_uri,2
kdelibs4support_executable_tests,1
kdelibs4support_examples,2
ADD_SUBDIRECTORY,70
kf5_add_kdeinit_executable,26
PROJECT,119
enable_language,5
LINK_DIRECTORIES,7
KDE4_ADD_LIBRARY,3
CSHARP_ADD_LIBRARY,2
ADD_DEPENDENCIES,21
INSTALL_ASSEMBLY,1
CSHARP_ADD_EXECUTABLE,9
csharp_add_library,3
macro_optional_add_bindings,101
macro_display_bindings_log,8
ENABLE_TESTING,5
nepomuk_add_ontology_classes,3
install_ontology,4
KDE4_INSTALL_ICONS,3
okteta_add_sublibrary,16
kastencore_add_sublibrary,4
okteta_add_library,8
okteta_add_cmakeconfig,8
kastengui_add_sublibrary,6
kastencontrollers_add_sublibrary,24
oktetacore_add_sublibrary,2
okteta_add_qmakeconfig,2
okteta_add_pkgconfig,2
oktetagui_add_sublibrary,2
oktetakastencore_add_sublibrary,2
oktetakastengui_add_sublibrary,19
oktetakastencontrollers_add_sublibrary,32
oktetakastencontrollers_add_sublibrary_structures_tested,11
kreport_add_tests,1
kreport_add_examples,1
simple_option,29
get_git_revision_and_branch,3
add_unfinished_features_option,2
add_pc_file,3
set_coinstallable_lib_version,3
kdb_create_shared_data_classes,1
kdb_remove_extensions,1
kreport_add_icons_rcc_file,1
MACRO_ENSURE_OUT_OF_SOURCE_BUILD,1
add_simple_feature_info,1
ADD_CUSTOM_COMMAND,28
SET_SOURCE_FILES_PROPERTIES,37
PREDICATE_CREATE_SHARED_DATA_CLASSES,1
qt_wrap_cpp,2
build_test,9
CHECK_CXX_SOURCE_COMPILES,3
dbus_add_activation_service,3
ecm_find_qmlmodule,60
kcoreaddons_add_plugin,169
add_share_plugin,13
kaccounts_add_service,7
ecm_generate_qmltypes,7
zg_add_dbus_interface,3
QT4_WRAP_CPP,6
QT4_AUTOMOC,3
FIND_PROGRAM,8
SET_PROPERTY,3
MACRO_BOOL_TO_01,53
check_nodump,1
STRING,24
INCLUDE,77
ENABLE_UNITY_BUILD,4
target_compile_options,38
FIND_PACKAGE,57
ADD_EXECUTABLE,33
ADD_TEST,31
ECM_ADD_APP_ICON,2
TMDBQT_TESTS,1
macro_unit_tests,5
kcalcore_run_single_test,12
kpim_grantlee_adjust_plugin_name,2
kde_clang_format,79
KIMAP_UNIT_TESTS,1
kpackage_install_package,70
target_compile_features,25
phonon_install_icons,1
add_unittest,24
kitemviews_executable_tests,1
ecm_add_qtwayland_client_protocol,19
target_sources,54
kguiaddons_executable_tests,1
math,16
get_git_branch,1
calligra_define_product,109
calligra_define_feature,2
calligra_define_productset,21
calligra_set_productset,2
AddCompilerFlag,2
vc_compile_for_all_implementations,2
calligra_drop_product_on_bad_condition,21
calligra_drop_products_on_old_flag,5
calligra_disable_product,1
calligra_drop_unbuildable_products,2
words_part_add_unit_test,1
calligra_part_desktop_to_json,4
ADD_APPLICATION_TEST_COMMAND,1
stage_part_add_unit_test,7
calligrastage_tool_desktop_to_json,1
calligra_presentationeventaction_desktop_to_json,1
calligrastage_pageeffect_desktop_to_json,9
calligrastage_shapeanimation_desktop_to_json,1
calligra_textinlineobject_desktop_to_json,2
calligra_shape_desktop_to_json,14
calligrasheets_plugin_desktop_to_json,14
calligrasheets_viewplugin_desktop_to_json,2
sheets_add_unit_test,32
karbon_viewplugin_desktop_to_json,4
kowidgetutils_add_unit_test,1
kowidgets_add_unit_test,4
kostore_add_unit_test,2
koodf_add_unit_test,12
kotextlayout_add_unit_test,3
kotext_add_unit_test,5
kotext_styles_add_unit_test,5
flake_add_unit_test,26
calligra_tool_desktop_to_json,3
ko_compile_for_all_implementations_no_scalar,1
pigment_add_unit_test,12
calligra_add_benchmark,2
komain_add_unit_test,5
QT5_WRAP_CPP,3
kopageapp_add_unit_test,4
calligra_pageapptool_desktop_to_json,1
kordf_add_unit_test,2
colorengine_lcms_add_unit_test,2
calligra_colorspace_desktop_to_json,1
musicshape_add_unit_test,3
calligra_device_desktop_to_json,1
calligra_docker_desktop_to_json,2
calligra_texteditingplugin_desktop_to_json,4
chartshape_add_unit_test,6
chartshape_loading_add_unit_test,5
formulashape_add_unit_test,4
calligra_semanticitem_desktop_to_json,3
calligra_filtereffect_desktop_to_json,1
try_run,6
calligra_filter_desktop_to_json,45
calligra_product_deps_report,2
calligra_log_should_build,2
CALLIGRA_ADD_TEST_COMMAND,2
CALLIGRA_ADD_UNIT_TEST,14
kdbusaddons_generate_dbus_service_file,9
kcmutils_generate_module_data,21
kwin4_add_effect_backend,1
install_scripted_effect,17
kwin4_add_effect,1
add_kwin_script,4
kwineffects_unit_tests,1
integrationTest,76
drmTest,1
ecm_install_configured_files,16
gcrypt_check,1
subdirs,17
AUX_SOURCE_DIRECTORY,1
kdp_add_tests,1
TEST_BIG_ENDIAN,4
koffice_add_benchmark,4
MACRO_ENSURE_VERSION,2
kde4_add_ui3_files,4
macro_display_application_enabled,16
break,3
unset,37
ecm_add_wayland_client_protocol,30
ecm_add_wayland_server_protocol,37
ecm_add_qtwayland_server_protocol,1
_make_absolute,9
kwaylandtest,1
kde3_automoc,6
kde3_add_kpart,6
QT4_GENERATE_MOC,1
kdsoap_generate_soap_bindings,1
kde_source_files_enable_exceptions,10
get_property,33
ExternalProject_Add,10
ExternalProject_Get_Property,4
Set,1
add_backend,10
QT5_ADD_DBUS_ADAPTOR,5
QT5_ADD_DBUS_INTERFACE,8
add_compile_definitions,4
add_assistant,12
add_panel,4
SET_PACKAGE_PROPERTIES,7
FIND_PATH,1
bison_target,8
python_install,3
add_sip_python_module,26
flex_target,7
add_flex_bison_dependency,6
kservice_unit_tests,2
kservice_executable_tests,2
baloo_engine_auto_tests,2
baloo_codecs_auto_tests,1
baloo_file_auto_tests,1
OPTION,58
ktextwidgets_executable_tests,1
ktextwidgets_unit_tests,1
qt4_wrap_ui,3
kdevplatform_add_app_templates,5
kdevplatform_add_plugin,20
kdevpgqt_generate,6
HANDLE_IMPORTED_TARGETS_IN_CMAKE_REQUIRED_LIBRARIES,1
try_compile,4
plasma_install_package,139
add_kded_test,2
tpqt_xincludator,2
tpqt_constants_gen,1
tpqt_types_gen,1
tpqt_client_generator,1
tplqt_generate_headers,1
add_vk_test,4
frameworkintegration_tests,1
export,17
kaccounts_add_provider,4
CMAKE_MINIMUM_REQUIRED,7
CMAKE_POLICY,16
EXECUTE_PROCESS,5
FEATURE_SUMMARY,4
QT4_ADD_DBUS_INTERFACE,13
KDOCTOOLS_CREATE_HANDBOOK,8
trojita_option,12
trojita_find_package,12
trojita_plugin_option,5
add_compiler_export_flags,1
ragel_parser,1
qt5_wrap_po,1
trojita_add_plugin,5
copy_desktop_file_without_cruft,1
trojita_test,35
macro_check_gcc_visibility,2
CHECK_INCLUDE_FILE_CXX,30
CHECK_INCLUDE_FILES,4
CHECK_TYPE_SIZE,41
create_test_sourcelist,1
CREATE_TEST_SOURCELIST,3
REMOVE,3
automoc4_add_executable,2
CHECK_INCLUDE_FILE,17
DETECT_LIBKEXIV2,1
CHECK_STRUCT_HAS_MEMBER,1
ADD_STRIGIEA,5
ADD_STRIGILA,5
ADD_STRIGITA,10
Set_target_properties,1
csharp_add_executable,2
install_assembly,26
GET_LIBRARY_OUTPUT_DIR,22
ADD_LIBRARY,25
QT4_ADD_RESOURCES,8
SUBDIRS,3
separate_arguments,9
STEP_PROCESS_XML_TRANSLATION,3
stepcore_unit_tests,1
automoc4,2
LIBKDEGAMES_EXECUTABLE_TESTS,1
exec_program,8
KTEXTEDITOR_ENCODING_TEST,10
KTEXTEDITOR_INDENT_TEST,12
ktexteditor_unit_test,6
vimode_unit_test,5
nepomuk_add_simpleresource_classes,1
test_export,2
add_libkgapi2_test,47
plasma_install_bundled_package,2
kde3_add_ui_files,2
MATH,2
find_PACKAGE,1
find_PROGRAM,1
get_directory_property,5
kerfuffle_add_plugin,10
REMOVE_DEFINITIONS,2
QT5_USE_MODULES,5
CONFIGURE_PACKAGE_CONFIG_FILE,1
bluezqt_executable_tests,1
bluezqt_tests,2
KITEMMODELS_WIDGETS_TESTS,1
ecm_gperf_generate,6
Qt4_add_resources,1
set_directory_properties,8
kpackagetool5test,1
ruby_unit_test,4
dbus_add_activation_session_service,1
kdeconnect_add_plugin,27
geninterface,17
capnp_generate_cpp,1
kwindowsystem_unit_tests,2
kwindowsystem_executable_tests,3
kiconthemes_executable_tests,1
kiconthemes_tests,1
KI18N_INSTALL,1
KDOCTOOLS_INSTALL,1
kimageformats_add_plugin,14
kimageformats_read_tests,4
kimageformats_write_tests,1
kimageformats_executable_tests,1
MARK_AS_ADVANCED,1
EXEC_PROGRAM,1
marble_set_package_properties,22
qt_add_resources,15
qt_wrap_ui,32
query_qmake,7
marble_add_project_resources,2
marble_add_designer_plugin,3
marble_add_plugin,57
qt_generate_moc,1
PROTOBUF_GENERATE_CPP,3
MARBLE_ADD_PROJECT_RESOURCES,1
marble_install_po_files_as_qm,2
marble_add_test,54
QT_ADD_RESOURCES,1
generateFakeHeaders,3
marble_feature_summary,1
add_tests,1
add_examples,1
kproperty_add_icons_rcc_file,1
parley_gui_unittests,1
parley_non_gui_unittests,1
qt4_add_translation,1
mediawiki_executable_tests,1
MEDIAWIKI_TEST_RESOURCES,1
KDE4_ADD_EXECUTABLE,7
ECM_INSTALL_ICONS,2
add_kmime_test,1
QT4_CREATE_TRANSLATION,1
enable_unity_build,14
_kdoctools_create_target_name,3
kdoctools_encode_uri,1
unit_tests,1
kdbusaddons_tests,1
generate_and_install_dbus_interface,1
find_gem,2
ecm_generate_dbus_service_file,5
kconfigwidgets_executable_tests,1
KDSOAP_GENERATE_WSDL,2
doxygen_add_docs,1
target_link_options,2
addExplorerWrapper,1
KDEWIN_PACKAGER,1
gettext_create_translations,1
check_c_compiler_flag,1
check_c_source_compiles,3
macro_prove,6
reduce_qt_include_dirs,1
karchive_executable_tests,2
kemoticons_unit_test,2
generate_binary_resource,2
gtk_update_icon_cache,2
NETWORKMANAGERQT_AUTOTESTS,1
qsystemd_process_json,1
qsystemd_add_dbus_interface,5
qsystemd_process_source_file,4
add_unit_tests,1
akonadi_add_resourcetest,3
IMAP_RESOURCE_UNIT_TESTS,1
addTest,12
_add_test,2
akonadi_ews_add_ut_advanced,3
akonadi_ews_add_ut,5
akonadi_fakeserver_add_test,1
NEPOMUK_ADD_SIMPLERESOURCE_CLASSES,1
make_directory,3
compiler_warnings,1
