command,freq
cmake_minimum_required,62
project,62
set,1199
function,119
list,351
foreach,5
separate_arguments,1
endforeach,5
cmake_dependent_option,11
endfunction,119
macro,3
message,133
execute_process,2
endmacro,3
file,66
string,179
LEG_EXTRACT,2
LEG_BUNDLE,15
set_property,91
IF,2
SET,27
MESSAGE,6
ENDIF,2
add_definitions,39
check_c_compiler_flag,1
FILE,26
LIST,12
SET_SOURCE_FILES_PROPERTIES,1
ELSEIF,1
ELSE,1
STRING,2
WHILE,1
HEXCHAR2DEC,1
MATH,4
ENDWHILE,1
git_describe,2
GENERATENUMBER,1
configure_file,80
include_directories,36
force_rescan_library,4
find_package,270
link_directories,1
cmake_policy,1
add_library,419
check_function_exists,2
GET_FILENAME_COMPONENT,6
FOREACH,2
source_group,3
ENDFOREACH,2
add_dependencies,21
target_link_libraries,202
set_target_properties,88
install,482
add_executable,53
add_custom_command,2
add_custom_target,3
set_source_files_properties,1
check_library_exists,1
target_compile_definitions,51
LEG_DOWNLOAD,3
set_package_properties,116
cmake_parse_arguments,29
_test_name,29
_test_type,29
get_git_head_revision,29
ecm_create_qm_loader,29
QT5_ADD_RESOURCES,58
generate_export_header,74
target_include_directories,61
ecm_setup_version,58
configure_package_config_file,58
ecm_generate_pri_file,58
ecm_install_icons,29
qt5_wrap_ui,29
ecm_optional_add_subdirectory,203
add_feature_info,174
return,29
ecm_add_tests,29
ecm_install_po_files_as_qm,29
generate_snore_plugin_header,29
feature_summary,29
cmrc_add_resource_library,16
create_icon_rc,16
