hash,filename,"(False, False)","(False, True)","(True, False)","(True, True)"
b06dee43696b5057ee8e1b9700655ad9e7d89669,gzwrite.c,6,6,6,6
b06dee43696b5057ee8e1b9700655ad9e7d89669,zlib.h,6,6,6,6
f0546c8e34dbe1bcc636a6ab4529159266efafe6,zlib.h,6,6,6,6
0aac8cf7c4da2572609d177657fb5f947bf38cd2,zlib.h,6,6,6,6
e9f0b78443884bfd88ead7235bcf5a6a1adae5cd,gzlib.c,6,6,6,6
e9f0b78443884bfd88ead7235bcf5a6a1adae5cd,gzread.c,6,6,6,6
e9f0b78443884bfd88ead7235bcf5a6a1adae5cd,gzwrite.c,6,6,6,6
d3b613e3208c0d0f9eb40d9480325becd69481da,gzguts.h,6,6,6,6
c661c374e8df43365738daa09f4390d61bc57f08,deflate.c,6,6,6,6
f81b79c55998a0b7551c129ac379df5839d0949b,inffast.c,6,6,6,6
f81b79c55998a0b7551c129ac379df5839d0949b,zutil.h,6,6,6,6
0b166094092efa2b92200cbb67f390e86c181ab4,deflate.c,6,6,6,6
0b166094092efa2b92200cbb67f390e86c181ab4,gzguts.h,6,6,6,6
0b166094092efa2b92200cbb67f390e86c181ab4,gzlib.c,6,6,6,6
0b166094092efa2b92200cbb67f390e86c181ab4,gzread.c,6,6,6,6
0b166094092efa2b92200cbb67f390e86c181ab4,gzwrite.c,6,6,6,6
0b166094092efa2b92200cbb67f390e86c181ab4,inffast.c,6,6,6,6
0b166094092efa2b92200cbb67f390e86c181ab4,inftrees.c,6,6,6,6
0b166094092efa2b92200cbb67f390e86c181ab4,zlib.h,6,6,6,6
0b166094092efa2b92200cbb67f390e86c181ab4,zutil.h,6,6,6,6
8a93f49c86044934de225a395d3b5b851879257c,deflate.c,6,6,6,6
8a93f49c86044934de225a395d3b5b851879257c,inftrees.c,6,6,6,6
8a93f49c86044934de225a395d3b5b851879257c,zlib.h,6,6,6,6
70252daf893a5e181d8b6eb7da6cec9fab044ecc,gzguts.h,6,6,6,6
70252daf893a5e181d8b6eb7da6cec9fab044ecc,gzwrite.c,6,6,6,6
139c67fc879b0836dcc1285947f0d353efe42e2d,zlib.h,6,6,6,6
388a285cb89048a5a4aa656dc377c6cf0a53cdf0,deflate.c,6,6,6,6
388a285cb89048a5a4aa656dc377c6cf0a53cdf0,inftrees.c,6,6,6,6
388a285cb89048a5a4aa656dc377c6cf0a53cdf0,zlib.h,6,6,6,6
b7bc38845416febaba0d3736fec890750ad9fb28,zlib.h,6,6,6,6
e8fee0ea7bf62e595bd5518b7b22e3e16397278c,deflate.c,6,6,6,6
e8fee0ea7bf62e595bd5518b7b22e3e16397278c,inftrees.c,6,6,6,6
e8fee0ea7bf62e595bd5518b7b22e3e16397278c,zlib.h,6,6,6,6
f5ec26344f2c9d4facc000cd9c8495e279a0eba6,zlib1.rc,5,5,5,5
2dad5389af478ae7d09f4479650c1471dc13e0f5,zlib.h,6,6,6,6
50893291621658f355bc5b4d450a8d06a563053d,zlib.h,6,6,6,6
ceeb615f4660966c192edb302207842c7283b5ac,deflate.c,6,6,6,6
ceeb615f4660966c192edb302207842c7283b5ac,inftrees.c,6,6,6,6
ceeb615f4660966c192edb302207842c7283b5ac,zlib.h,6,6,6,6
303d92cfee8ffccaf446ba0ca442ef905dc059e3,deflate.c,6,6,6,6
72c70060d8312cff06754779188d8adeb974f18c,gzlib.c,6,6,6,6
f898bbed8991fb2220940d19d70803cc68697b60,compress.c,6,6,6,6
