command,freq
cmake_minimum_required,2
project,4
set,110
find_package,67
include,22
set_package_properties,13
if,52
add_feature_info,5
else,3
include_directories,22
configure_file,19
plasma_install_package,21
add_definitions,54
ecm_optional_add_subdirectory,4
add_library,56
target_link_libraries,99
install,186
generate_export_header,1
ecm_add_tests,2
add_executable,22
set_target_properties,11
kconfig_add_kcfg_files,25
target_compile_definitions,3
target_include_directories,2
QT5_ADD_DBUS_ADAPTOR,1
kcoreaddons_desktop_to_json,19
remove_definitions,2
pkg_check_modules,1
option,2
elseif,1
message,2
ecm_qt_declare_logging_category,7
ki18n_wrap_ui,19
macro,1
ecm_mark_nongui_executable,3
ecm_mark_as_test,4
add_test,4
endmacro,1
keyboard_daemon_unit_tests,2
add_dependencies,3
qt5_add_dbus_interface,16
qt5_add_resources,2
kauth_install_helper_files,2
kauth_install_actions,2
kpackage_install_package,14
set_source_files_properties,3
file,3
SET,2
qt5_add_dbus_interfaces,3
qt5_generate_dbus_interface,2
ecm_install_icons,5
macro_log_feature,1
check_include_files,1
qt5_add_dbus_adaptor,1
kf5_add_kdeinit_executable,1
kde_clang_format,1
feature_summary,1
